[2018-01-02 09:23:10,851][TRACE] [src/CnfAgentBase.cpp:123] this worker not regiter channel [ host_conf ] 
[2018-01-02 09:23:10,851][TRACE] [src/CnfAgentBase.cpp:123] this worker not regiter channel [ host_conf ] 
[2018-01-02 09:23:10,851][TRACE] [src/CnfAgentBase.cpp:123] this worker not regiter channel [ srv_name ] 
[2018-01-02 09:23:10,851][TRACE] [src/CnfAgentBase.cpp:123] this worker not regiter channel [ srv_name ] 
[2018-01-02 09:23:10,851][INFO] [src/CnfComm/src/base_task.cpp:325] work [2] going to run 
[2018-01-02 09:23:10,851][INFO] [src/CnfAgentBase.cpp:177] worker [2] first sync, need to syns full cnf from cnf_srv
[2018-01-02 09:23:10,851][TRACE] [src/CnfAgentBase.cpp:186] SetSynTimer()
[2018-01-02 09:23:10,851][TRACE] [src/CnfAgentBase.cpp:210] set timer tm dur: 10, us: 0
[2018-01-02 09:23:10,851][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:23:15,852][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:23:20,852][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:23:25,852][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:23:30,852][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:23:35,852][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:23:40,852][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:23:45,852][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:23:50,853][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:23:55,853][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:24:00,853][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:24:05,853][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:24:10,853][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:24:15,853][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:24:20,854][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:24:25,854][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
[2018-01-02 09:24:30,854][ERROR] [src/CnfAgentBase.cpp:192] sub redis failed, err: subscribe channel is empty
